5e-07  0.475 0.5
1.53  0.008  6.94e-07
16.4299  16.4307  16.4303  -0.0158061
16.3887  16.3896  16.3892  -0.0157839
16.3476  16.3485  16.3481  -0.0157606
16.3067  16.3076  16.3072  -0.0157381
16.2659  16.2668  16.2664  -0.0157146
16.2252  16.2261  16.2257  -0.0156918
16.1847  16.1855  16.1851  -0.015668
16.1442  16.1451  16.1447  -0.0156449
16.1039  16.1048  16.1044  -0.015621
16.0637  16.0646  16.0642  -0.0155976
16.0236  16.0245  16.0241  -0.0155734
15.9837  15.9845  15.9841  -0.0155498
15.9438  15.9447  15.9443  -0.0155254
15.9041  15.905  15.9046  -0.0155016
15.8645  15.8653  15.865  -0.015477
15.825  15.8259  15.8255  -0.015453
15.7856  15.7865  15.7861  -0.0154282
15.7464  15.7472  15.7468  -0.0154039
15.7073  15.7081  15.7077  -0.015379
15.6682  15.6691  15.6687  -0.0153545
15.6293  15.6302  15.6298  -0.0153294
15.5905  15.5914  15.591  -0.0153048
15.5519  15.5527  15.5523  -0.0152795
15.5133  15.5141  15.5138  -0.0152547
15.4749  15.4757  15.4753  -0.0152293
15.4365  15.4374  15.437  -0.0152043
15.3983  15.3991  15.3988  -0.0151788
15.3602  15.361  15.3607  -0.0151536
15.3222  15.3231  15.3227  -0.0151279
15.2844  15.2852  15.2848  -0.0151026
15.2466  15.2474  15.247  -0.0150768
15.209  15.2098  15.2094  -0.0150514
15.1714  15.1722  15.1719  -0.0150255
15.134  15.1348  15.1344  -0.0149999
15.0967  15.0975  15.0971  -0.0149739
15.0595  15.0603  15.0599  -0.0149482
15.0224  15.0232  15.0228  -0.0149221
14.9854  14.9862  14.9858  -0.0148962
14.9485  14.9493  14.949  -0.01487
14.9118  14.9125  14.9122  -0.0148441
14.8751  14.8759  14.8755  -0.0148178
14.8386  14.8393  14.839  -0.0147918
14.8021  14.8029  14.8025  -0.0147654
14.7658  14.7666  14.7662  -0.0147393
14.7296  14.7304  14.73  -0.0147129
14.6935  14.6942  14.6939  -0.0146867
14.6575  14.6582  14.6579  -0.0146602
14.6216  14.6223  14.622  -0.0146339
14.5858  14.5865  14.5862  -0.0146073
14.5501  14.5508  14.5505  -0.0145809
14.5145  14.5153  14.5149  -0.0145543
14.479  14.4798  14.4794  -0.0145279
14.4437  14.4444  14.4441  -0.0145012
14.4084  14.4091  14.4088  -0.0144748
14.3732  14.374  14.3736  -0.0144481
14.3382  14.3389  14.3386  -0.0144215
14.3032  14.304  14.3036  -0.0143948
14.2684  14.2691  14.2688  -0.0143682
14.2336  14.2344  14.234  -0.0143414
14.199  14.1997  14.1994  -0.0143148
14.1644  14.1652  14.1648  -0.014288
14.13  14.1307  14.1304  -0.0142613
14.0957  14.0964  14.096  -0.0142345
14.0614  14.0621  14.0618  -0.0142078
14.0273  14.028  14.0277  -0.0141809
13.9932  13.994  13.9936  -0.0141542
13.9593  13.96  13.9597  -0.0141273
13.9255  13.9262  13.9259  -0.0141006
13.8917  13.8924  13.8921  -0.0140737
13.8581  13.8588  13.8585  -0.014047
13.8246  13.8253  13.8249  -0.0140201
13.7911  13.7918  13.7915  -0.0139933
13.7578  13.7585  13.7582  -0.0139664
13.7245  13.7252  13.7249  -0.0139396
13.6914  13.6921  13.6918  -0.0139128
13.6583  13.659  13.6587  -0.013886
13.6254  13.6261  13.6258  -0.0138591
13.5925  13.5932  13.5929  -0.0138323
13.5598  13.5605  13.5601  -0.0138055
13.5271  13.5278  13.5275  -0.0137787
13.4946  13.4952  13.4949  -0.0137518
13.4621  13.4628  13.4624  -0.0137251
13.4297  13.4304  13.4301  -0.0136982
13.3974  13.3981  13.3978  -0.0136715
13.3652  13.3659  13.3656  -0.0136447
13.3331  13.3338  13.3335  -0.0136179
13.3011  13.3018  13.3015  -0.0135911
13.2692  13.2699  13.2696  -0.0135644
13.2374  13.2381  13.2378  -0.0135377
13.2057  13.2064  13.2061  -0.013511
13.1741  13.1747  13.1744  -0.0134842
13.1426  13.1432  13.1429  -0.0134576
13.1111  13.1118  13.1115  -0.0134308
13.0798  13.0804  13.0801  -0.0134042
13.0485  13.0491  13.0488  -0.0133775
13.0173  13.018  13.0177  -0.0133509
12.9862  12.9869  12.9866  -0.0133243
12.9553  12.9559  12.9556  -0.0132977
12.9244  12.925  12.9247  -0.0132711
12.8936  12.8942  12.8939  -0.0132446
12.8628  12.8635  12.8632  -0.013218
12.8322  12.8328  12.8325  -0.0131916
12.8017  12.8023  12.802  -0.013165
12.7712  12.7718  12.7715  -0.0131386
12.7408  12.7415  12.7412  -0.0131121
12.7106  12.7112  12.7109  -0.0130857
12.6804  12.681  12.6807  -0.0130593
12.6503  12.6509  12.6506  -0.013033
12.6203  12.6209  12.6206  -0.0130066
12.5903  12.591  12.5907  -0.0129803
12.5605  12.5611  12.5608  -0.012954
12.5307  12.5314  12.5311  -0.0129278
12.5011  12.5017  12.5014  -0.0129015
12.4715  12.4721  12.4718  -0.0128753
12.442  12.4426  12.4423  -0.0128491
12.4126  12.4132  12.4129  -0.012823
12.3832  12.3839  12.3836  -0.0127968
12.354  12.3546  12.3543  -0.0127708
12.3248  12.3254  12.3252  -0.0127447
12.2958  12.2964  12.2961  -0.0127187
12.2668  12.2674  12.2671  -0.0126926
12.2379  12.2385  12.2382  -0.0126667
12.209  12.2096  12.2093  -0.0126408
12.1803  12.1809  12.1806  -0.0126149
12.1516  12.1522  12.1519  -0.012589
12.123  12.1236  12.1234  -0.0125632
12.0945  12.0951  12.0948  -0.0125374
12.0661  12.0667  12.0664  -0.0125116
12.0378  12.0384  12.0381  -0.0124858
12.0095  12.0101  12.0098  -0.0124602
11.9814  11.9819  11.9817  -0.0124345
11.9533  11.9538  11.9536  -0.0124089
11.9253  11.9258  11.9256  -0.0123833
11.8973  11.8979  11.8976  -0.0123577
11.8695  11.87  11.8698  -0.0123322
11.8417  11.8423  11.842  -0.0123067
11.814  11.8146  11.8143  -0.0122813
11.7864  11.7869  11.7867  -0.0122559
11.7588  11.7594  11.7591  -0.0122305
11.7314  11.7319  11.7317  -0.0122052
11.704  11.7045  11.7043  -0.0121799
11.6767  11.6772  11.677  -0.0121546
11.6495  11.65  11.6497  -0.0121294
11.6223  11.6229  11.6226  -0.0121043
11.5952  11.5958  11.5955  -0.0120791
11.5682  11.5688  11.5685  -0.012054
11.5413  11.5419  11.5416  -0.012029
11.5145  11.515  11.5147  -0.012004
11.4877  11.4882  11.488  -0.011979
11.461  11.4615  11.4613  -0.0119541
11.4344  11.4349  11.4347  -0.0119292
11.4078  11.4084  11.4081  -0.0119043
11.3814  11.3819  11.3816  -0.0118795
11.355  11.3555  11.3552  -0.0118547
11.3286  11.3292  11.3289  -0.01183
11.3024  11.3029  11.3027  -0.0118054
11.2762  11.2768  11.2765  -0.0117807
11.2501  11.2507  11.2504  -0.0117561
11.2241  11.2246  11.2244  -0.0117316
11.1981  11.1987  11.1984  -0.0117071
11.1723  11.1728  11.1725  -0.0116826
11.1465  11.147  11.1467  -0.0116582
11.1207  11.1212  11.121  -0.0116338
11.0951  11.0956  11.0953  -0.0116095
11.0695  11.07  11.0697  -0.0115852
11.0439  11.0445  11.0442  -0.0115609
11.0185  11.019  11.0188  -0.0115367
10.9931  10.9936  10.9934  -0.0115126
10.9678  10.9683  10.9681  -0.0114884
10.9426  10.9431  10.9428  -0.0114644
10.9174  10.9179  10.9177  -0.0114403
10.8923  10.8928  10.8926  -0.0114164
10.8673  10.8678  10.8675  -0.0113924
10.8423  10.8428  10.8426  -0.0113685
10.8174  10.8179  10.8177  -0.0113447
10.7926  10.7931  10.7929  -0.0113209
10.7679  10.7684  10.7681  -0.0112972
10.7432  10.7437  10.7434  -0.0112734
10.7186  10.7191  10.7188  -0.0112498
10.694  10.6945  10.6943  -0.0112262
10.6695  10.67  10.6698  -0.0112026
10.6451  10.6456  10.6454  -0.0111791
10.6208  10.6213  10.621  -0.0111556
10.5965  10.597  10.5968  -0.0111322
10.5723  10.5728  10.5726  -0.0111088
10.5482  10.5486  10.5484  -0.0110855
10.5241  10.5246  10.5243  -0.0110622
10.5001  10.5005  10.5003  -0.0110389
10.4761  10.4766  10.4764  -0.0110157
10.4523  10.4527  10.4525  -0.0109926
10.4284  10.4289  10.4287  -0.0109695
10.4047  10.4052  10.4049  -0.0109464
10.381  10.3815  10.3813  -0.0109234
10.3574  10.3579  10.3576  -0.0109004
10.3338  10.3343  10.3341  -0.0108775
10.3104  10.3108  10.3106  -0.0108547
10.2869  10.2874  10.2872  -0.0108318
10.2636  10.264  10.2638  -0.0108091
10.2403  10.2407  10.2405  -0.0107863
10.217  10.2175  10.2173  -0.0107636
10.1939  10.1943  10.1941  -0.010741
10.1708  10.1712  10.171  -0.0107184
10.1477  10.1482  10.148  -0.0106959
10.1248  10.1252  10.125  -0.0106734
10.1018  10.1023  10.1021  -0.010651
10.079  10.0794  10.0792  -0.0106286
10.0562  10.0566  10.0564  -0.0106062
10.0335  10.0339  10.0337  -0.0105839
10.0108  10.0112  10.011  -0.0105617
9.98818  9.98862  9.98841  -0.0105395
9.96563  9.96607  9.96586  -0.0105173
9.94315  9.94358  9.94337  -0.0104952
9.92072  9.92116  9.92095  -0.0104731
9.89836  9.89879  9.89858  -0.0104511
9.87605  9.87649  9.87628  -0.0104292
9.85381  9.85424  9.85403  -0.0104072
9.83163  9.83206  9.83185  -0.0103854
9.8095  9.80993  9.80973  -0.0103636
9.78744  9.78787  9.78766  -0.0103418
9.76544  9.76586  9.76566  -0.0103201
9.74349  9.74392  9.74371  -0.0102984
